     -0.12      -0.12          0 	       2.7228415     0.0016241038   -1.2400777e-12 
     -0.12      -0.12  0.0576923 	       2.7228351      0.001630267    4.1911899e-05 
     -0.12      -0.12   0.115385 	       2.7228117     0.0016479362     0.0001005151 
     -0.12      -0.12   0.173077 	       2.7227659     0.0016824654    0.00020061615 
     -0.12      -0.12   0.230769 	       2.7226834      0.001747001    0.00037916059 
     -0.12      -0.12   0.288462 	       2.7225358     0.0018630626    0.00070153809 
     -0.12      -0.12   0.346154 	       2.7222644      0.002072191     0.0012875205 
     -0.12      -0.12   0.403846 	       2.7217748     0.0024527727     0.0023492546 
     -0.12      -0.12   0.461538 	       2.7208901     0.0031369602     0.0042757249 
     -0.12      -0.12   0.519231 	       2.7192904      0.004368885     0.0077570797 
     -0.12      -0.12   0.576923 	       2.7163764     0.0065656671      0.014045253 
     -0.12      -0.12   0.634615 	       2.7110444      0.010458816      0.025375612 
     -0.12      -0.12   0.692308 	       2.7012177      0.017252098      0.045698386 
     -0.12      -0.12       0.75 	        2.682924      0.028797698      0.081880101 
     -0.12      -0.12   0.807692 	       2.6483996      0.047494801       0.14546466 
     -0.12      -0.12   0.865385 	       2.5820815      0.074978804        0.2543793 
     -0.12      -0.12   0.923077 	       2.4525028       0.10691806       0.43096591 
     -0.12      -0.12   0.980769 	       2.2009908       0.12004325        0.6804808 
     -0.12      -0.12    1.03846 	       1.7603649      0.067577253       0.91899893 
     -0.12      -0.12    1.09615 	       1.1887074     -0.044241395        0.9478224 
     -0.12      -0.12    1.15385 	      0.71089043      -0.11111339       0.73907313 
     -0.12      -0.12    1.21154 	      0.42233657      -0.10607841       0.48982731 
     -0.12      -0.12    1.26923 	      0.26369286     -0.076273025       0.30681619 
     -0.12      -0.12    1.32692 	      0.17322478     -0.049289649       0.19098758 
     -0.12      -0.12    1.38462 	      0.11833303     -0.030682451       0.12041233 
     -0.12      -0.12    1.44231 	     0.083284952     -0.018971023      0.077419339 
     -0.12      -0.12        1.5 	     0.060054974     -0.011823692      0.050878456 
