year mo dd hr mn sc dsub1_Bx dsub1_By dsub1_Bz dsub2_Bx dsub2_By dsub2_Bz dsub3_Bx dsub3_By dsub3_Bz dsub4_Bx dsub4_By dsub4_Bz dsub5_Bx dsub5_By dsub5_Bz
2014 07 15 15 39 38 -42.570312 -9.333854 -41.737899 -32.611159 27.606513 -15.932926 38.457848 8.774401 -32.513951 19.726642 11.799253 -20.386420 -5.881538 -37.700198 -60.812639
2014 07 15 15 39 38 -42.414147 -9.310012 -41.662797 -32.507447 27.693536 -15.740999 38.758256 8.342863 -32.506798 19.918569 11.508383 -20.313703 -5.819549 -37.827752 -60.867475
2014 07 15 15 39 38 -42.564351 -9.375577 -41.725978 -32.581357 27.633931 -15.931734 38.468577 8.774401 -32.529448 19.746907 11.851706 -20.367347 -5.916109 -37.663243 -60.896085
2014 07 15 15 39 38 -42.446334 -9.227758 -41.638955 -32.549170 27.459886 -15.988955 38.674809 8.209349 -32.569979 19.822009 11.478580 -20.347081 -5.774250 -37.766955 -60.856746
2014 07 15 15 39 39 -42.520244 -9.211069 -41.655644 -32.520560 27.461078 -16.027101 38.619973 8.249880 -32.541369 19.783862 11.500038 -20.323239 -5.962600 -37.716887 -61.037944
2014 07 15 15 39 39 -42.635877 -9.096628 -41.711673 -32.583741 27.546908 -16.031870 38.709380 8.173586 -32.552098 19.885190 11.452354 -20.381652 -5.994787 -37.583373 -60.867475
2014 07 15 15 39 39 -42.550046 -9.202724 -41.605576 -32.559899 27.462270 -16.083130 38.598515 8.206964 -32.584284 19.805320 11.447586 -20.355426 -5.877962 -37.731192 -61.003373
2014 07 15 15 39 39 -42.507131 -9.449487 -41.643723 -32.578973 27.436044 -16.120085 38.553216 8.514524 -32.561635 19.748099 11.677660 -20.362578 -5.991210 -37.695430 -60.917543
2014 07 15 15 39 40 -42.597730 -9.143119 -41.617497 -32.526521 27.446772 -16.127237 38.580634 8.410812 -32.460307 19.768365 11.619247 -20.354234 -5.981674 -37.685893 -60.985492
2014 07 15 15 39 40 -42.620379 -9.015565 -41.654452 -32.471684 27.521874 -15.923389 38.709380 8.221270 -32.584284 19.863732 11.498846 -20.326816 -5.821933 -37.832520 -60.869859
2014 07 15 15 39 40 -42.604882 -9.255176 -41.783198 -32.408503 27.570750 -15.780338 38.770177 8.329750 -32.535409 19.928105 11.500038 -20.289861 -5.795707 -37.883780 -60.851978
2014 07 15 15 39 40 -42.471368 -9.377962 -41.617497 -32.546786 27.743604 -15.935310 38.519837 8.792282 -32.511567 19.838698 11.447586 -20.274363 -5.827894 -37.815831 -60.878204
2014 07 15 15 39 41 -42.603690 -9.193187 -41.735515 -32.520560 27.472999 -15.979418 38.654544 8.177162 -32.554482 19.880422 11.641897 -20.328008 -5.937566 -37.681125 -60.939000
2014 07 15 15 39 41 -42.596538 -9.120470 -41.616305 -32.553939 27.443196 -16.009220 38.597323 8.227230 -32.556866 19.861348 11.540569 -20.310126 -5.862464 -37.770532 -61.003373
2014 07 15 15 39 41 -42.566735 -9.107357 -41.628226 -32.421617 27.550485 -15.853056 38.766601 8.273722 -32.578324 19.882806 11.494078 -20.294629 -5.808820 -37.882588 -60.871051
2014 07 15 15 39 41 -42.595345 -9.069210 -41.668757 -32.468108 27.720954 -15.837559 38.629510 8.439423 -32.575940 19.993670 11.588253 -20.323239 -5.768289 -37.795566 -60.837673
2014 07 15 15 39 42 -42.521436 -9.398227 -41.694983 -32.553939 27.774598 -15.916237 38.486459 8.738638 -32.505606 19.791015 11.837400 -20.386420 -5.857696 -37.675164 -60.849593
2014 07 15 15 39 42 -42.416532 -9.301668 -41.640147 -32.557515 27.633931 -16.263136 38.482882 8.599163 -32.505606 19.771941 11.774219 -20.386420 -5.973329 -37.595294 -60.887740
2014 07 15 15 39 42 -42.497594 -9.214645 -41.550740 -32.472877 27.724530 -16.025909 38.453080 8.776785 -32.428120 19.770749 11.799253 -20.411454 -5.923261 -37.678740 -60.881780
2014 07 15 15 39 42 -42.480905 -9.212261 -41.593656 -32.465724 27.728106 -15.953192 38.476922 8.755327 -32.418583 19.730218 11.805214 -20.287476 -5.897035 -37.758611 -60.941385
2014 07 15 15 39 43 -42.647798 -9.200340 -41.663989 -32.525329 27.794864 -15.724310 38.796403 8.378626 -32.542561 19.928105 11.513151 -20.353042 -5.807628 -37.772916 -61.037944
2014 07 15 15 39 43 -42.629916 -9.128814 -41.647300 -32.483605 27.556445 -15.955576 38.734414 8.197428 -32.537793 19.935258 11.544146 -20.313703 -5.917301 -37.790797 -61.037944
2014 07 15 15 39 43 -42.589385 -9.078746 -41.708096 -32.536057 27.822282 -15.808948 38.742759 8.355976 -32.507990 19.916184 11.526264 -20.356618 -5.774250 -37.807486 -60.898469
2014 07 15 15 39 43 -42.590577 -9.214645 -41.714057 -32.577781 27.788903 -15.864977 38.674809 8.446575 -32.571171 19.992478 11.494078 -20.324431 -5.804052 -37.865899 -60.918735
2014 07 15 15 39 44 -42.638261 -9.244447 -41.588887 -32.413272 27.567174 -15.857824 38.752295 8.242727 -32.555674 19.885190 11.476196 -20.367347 -5.827894 -37.853978 -60.892509
2014 07 15 15 39 44 -42.604882 -9.232526 -41.610345 -32.526521 27.585055 -15.752920 38.749911 8.319021 -32.534216 19.932874 11.455931 -20.367347 -5.807628 -37.859939 -60.913966
