year mo dd hr mn sc dsub1_Bx dsub1_By dsub1_Bz dsub2_Bx dsub2_By dsub2_Bz dsub3_Bx dsub3_By dsub3_Bz dsub4_Bx dsub4_By dsub4_Bz dsub5_Bx dsub5_By dsub5_Bz
2014 07 15 15 20 28 -42.904098 -9.197956 -41.753396 -32.947329 27.645852 -15.876898 38.195588 8.483530 -32.676076 19.553788 11.513151 -20.493709 -5.970945 -37.781260 -60.925887
2014 07 15 15 20 28 -42.746741 -9.432798 -41.742667 -32.918719 27.333524 -16.060480 38.234927 8.262993 -32.623623 19.553788 11.440433 -20.353042 -6.241550 -37.831328 -61.085628
2014 07 15 15 20 28 -42.812306 -9.418493 -41.845187 -33.020047 27.517106 -16.261944 38.124062 8.547903 -32.598589 19.465573 11.640705 -20.511590 -6.251087 -37.726424 -60.925887
2014 07 15 15 20 28 -42.882640 -9.224182 -41.754588 -32.927064 27.610089 -15.930542 38.130023 8.615852 -32.548522 19.538291 11.689581 -20.457946 -6.092538 -37.807486 -60.863899
2014 07 15 15 20 29 -42.859990 -9.225374 -41.710481 -32.968787 27.366902 -16.154655 38.165786 8.435846 -32.609318 19.485839 11.511959 -20.429336 -6.264200 -37.780068 -60.947345
2014 07 15 15 20 29 -42.828996 -9.350543 -41.944131 -32.968787 27.495648 -16.163000 38.137175 8.565784 -32.575940 19.466765 11.683620 -20.441256 -6.212940 -37.762187 -60.880588
2014 07 15 15 20 29 -42.800385 -9.249216 -41.735515 -32.856730 27.470614 -15.756496 38.387515 8.317829 -32.626008 19.667037 11.409439 -20.425759 -6.042470 -37.924312 -60.905622
2014 07 15 15 20 29 -42.781312 -9.361272 -41.786775 -32.953290 27.480151 -16.344198 38.071610 8.534790 -32.609318 19.454844 11.659779 -20.422183 -6.261816 -37.763379 -60.959266
2014 07 15 15 20 30 -42.895753 -9.267097 -41.845187 -32.961635 27.616050 -15.901932 38.153865 8.571745 -32.598589 19.566901 11.647858 -20.471059 -6.055583 -37.777684 -60.823367
2014 07 15 15 20 30 -42.877871 -9.214645 -41.671142 -32.943753 27.405049 -16.042599 38.302876 8.142591 -32.610510 19.566901 11.399902 -20.361386 -6.155719 -37.837289 -60.941385
2014 07 15 15 20 30 -42.765815 -9.432798 -41.743859 -32.899646 27.362134 -16.112932 38.234927 8.330942 -32.524680 19.520410 11.539377 -20.395957 -6.253471 -37.781260 -61.002181
2014 07 15 15 20 30 -42.776544 -9.152656 -41.761741 -32.967595 27.617242 -15.886435 38.219430 8.465649 -32.642697 19.608624 11.579908 -20.499669 -6.004323 -37.809871 -60.882972
2014 07 15 15 20 31 -42.808730 -9.215837 -41.723594 -32.822160 27.446772 -15.786299 38.400628 8.344055 -32.624816 19.683726 11.433281 -20.376883 -6.040086 -37.908814 -60.933040
2014 07 15 15 20 31 -42.687137 -9.462600 -41.741475 -32.924680 27.347829 -16.124853 38.193204 8.345247 -32.543753 19.476302 11.501230 -20.459138 -6.228437 -37.794373 -61.006950
2014 07 15 15 20 31 -42.832572 -9.412532 -41.803464 -32.948522 27.452733 -16.353735 38.128831 8.448959 -32.615279 19.450076 11.640705 -20.497285 -6.247510 -37.714503 -60.952113
2014 07 15 15 20 31 -42.886216 -9.337430 -41.841611 -32.916335 27.526643 -16.046175 38.134791 8.636118 -32.523488 19.444116 11.643089 -20.465098 -6.167640 -37.745498 -60.934232
2014 07 15 15 20 32 -42.893369 -9.207492 -41.758164 -32.943753 27.604129 -15.922197 38.172938 8.600355 -32.525872 19.543059 11.674084 -20.482980 -6.143798 -37.794373 -60.871051
2014 07 15 15 20 32 -42.916018 -9.120470 -41.758164 -32.876996 27.567174 -15.919813 38.273074 8.429886 -32.653426 19.619353 11.495270 -20.448409 -6.028165 -37.894509 -60.894893
2014 07 15 15 20 32 -42.792041 -9.460216 -41.766509 -32.918719 27.327563 -16.142735 38.200356 8.454920 -32.637929 19.453652 11.559643 -20.467483 -6.214132 -37.795566 -60.935424
2014 07 15 15 20 32 -42.783696 -9.332662 -41.845187 -32.991437 27.446772 -16.353735 38.066842 8.506180 -32.616471 19.478686 11.677660 -20.453177 -6.272544 -37.677548 -60.955690
2014 07 15 15 20 33 -42.892177 -9.250408 -41.835650 -32.925872 27.595784 -15.999683 38.095452 8.695723 -32.597397 19.507297 11.706270 -20.406686 -6.142606 -37.824176 -60.971187
2014 07 15 15 20 33 -42.871911 -9.206300 -41.647300 -32.911567 27.424123 -16.000875 38.327910 8.184315 -32.666539 19.578822 11.432089 -20.430528 -6.131877 -37.862323 -60.981916
2014 07 15 15 20 33 -42.826611 -9.220605 -41.717633 -32.915143 27.465846 -15.879282 38.320758 8.336903 -32.598589 19.656308 11.440433 -20.443641 -6.094923 -37.839673 -60.934232
2014 07 15 15 20 33 -42.765815 -9.296899 -41.728362 -32.761363 27.474191 -15.842327 38.406588 8.284451 -32.605742 19.657500 11.404671 -20.394765 -6.097307 -37.914775 -60.946153
2014 07 15 15 20 34 -42.737205 -9.399419 -41.768893 -32.933024 27.310874 -16.104588 38.302876 8.149744 -32.667731 19.526370 11.385597 -20.379268 -6.201019 -37.894509 -61.043905
2014 07 15 15 20 34 -42.741973 -9.472137 -41.758164 -32.953290 27.318026 -16.084322 38.183667 8.378626 -32.491301 19.520410 11.478580 -20.441256 -6.241550 -37.840865 -60.975955
2014 07 15 15 20 34 -42.852838 -9.346967 -41.760549 -32.965211 27.591016 -15.953192 38.181283 8.614660 -32.585476 19.554980 11.653818 -20.435296 -6.007900 -37.797950 -60.853170
